company,open,High,Low,close,change,Trades,Volume,Date
NPFMCRFBK,1.95,--,--,1.95,,3,"45,500",2021-11-04
NPFMCRFBK,1.95,1.88,1.88,1.88,-0.07,5,"106,600",2021-11-05
NPFMCRFBK,1.88,--,--,1.88,,6,"87,070",2021-11-08
NPFMCRFBK,1.88,1.91,1.91,1.91,0.03,6,"163,098",2021-11-09
NPFMCRFBK,1.91,--,--,1.91,,6,"113,889",2021-11-10
NPFMCRFBK,1.91,1.90,1.90,1.9,-0.01,13,"598,041",2021-11-11
NPFMCRFBK,1.9,1.80,1.80,1.8,-0.1,4,"196,500",2021-11-12
NPFMCRFBK,1.8,--,--,1.8,,2,950,2021-11-15
NPFMCRFBK,1.8,--,--,1.80,,3,"51,439",2021-11-16
NSLTECH,0.2,--,--,0.2,,0,--,2021-09-30
NSLTECH,0.2,--,--,0.2,,0,--,2021-10-04
NSLTECH,0.2,--,--,0.2,,0,--,2021-10-06
NSLTECH,0.2,--,--,0.2,,0,--,2021-10-08
NSLTECH,0.2,--,--,0.2,,0,--,2021-10-11
NSLTECH,0.2,--,--,0.2,,1,"1,780",2021-10-12
NSLTECH,0.2,--,--,0.2,,0,--,2021-10-13
NSLTECH,0.2,--,--,0.2,,0,--,2021-10-14
NSLTECH,0.2,--,--,0.2,,0,--,2021-10-18
NSLTECH,0.2,--,--,0.2,,0,--,2021-10-20
NSLTECH,0.2,--,--,0.2,,0,--,2021-10-21
NSLTECH,0.2,--,--,0.2,,0,--,2021-10-22
NSLTECH,0.2,--,--,0.2,,1,500,2021-10-25
NSLTECH,0.2,--,--,0.2,,0,--,2021-10-26
NSLTECH,0.2,--,--,0.2,,0,--,2021-10-27
NSLTECH,0.2,--,--,0.2,,0,--,2021-10-28
NSLTECH,0.2,--,--,0.2,,0,--,2021-10-29
NSLTECH,0.2,--,--,0.2,,0,--,2021-11-01
NSLTECH,0.2,--,--,0.2,,0,--,2021-11-02
NSLTECH,0.2,--,--,0.2,,0,--,2021-11-03
NSLTECH,0.2,--,--,0.2,,0,--,2021-11-04
NSLTECH,0.2,--,--,0.2,,0,--,2021-11-05
NSLTECH,0.2,--,--,0.2,,1,100,2021-11-08
NSLTECH,0.2,--,--,0.2,,0,--,2021-11-09
NSLTECH,0.2,--,--,0.2,,0,--,2021-11-10
NSLTECH,0.2,--,--,0.2,,0,--,2021-11-11
NSLTECH,0.2,--,--,0.2,,1,"5,000",2021-11-12
NSLTECH,0.2,--,--,0.2,,0,--,2021-11-15
NSLTECH,0.2,--,--,0.20,,0,--,2021-11-16
